user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
lyliepop,6714699877546705926,6907513067643407622,It’s all about me 🥰,1608280863,15,https://www.tiktok.com/@lyliepop/video/6907513067643407622?lang=en,54900,331,1395,384700
earseeds,6784601191042892805,6907044859295698181,Reply to @qxeen.kh a brief overview of what #earseeds are. Not medical advice. Educational only. #headache #backpain #stress #fyp #trending #foryou,1608171720,31,https://www.tiktok.com/@earseeds/video/6907044859295698181?lang=en,239100,9271,1233,1400000
ethan.thacker,6713217455462548485,6907300923027066117,What they always diggin for up there#fyp #foryou #foryoupage,1608231341,8,https://www.tiktok.com/@ethan.thacker/video/6907300923027066117?lang=en,113400,18600,1380,1400000
emimusssssssss,6743022207012553734,6907297450495659270,All dressed up and nowhere to go #DejaTuHuella #HaventSeen #MakeItMagical #PlantTikTok #VivaCleanHacks,1608230532,8,https://www.tiktok.com/@emimusssssssss/video/6907297450495659270?lang=en,55100,230,352,264900
evefingdonnelly,6647996363476303878,6907066440722009350,Repost bc it violated guidelines😔 #daddygang #callherdaddy #callherdaddypodcast #alexcooper #fyp #misogyny #Productivity #MakeItMagical,1608176748,48,https://www.tiktok.com/@evefingdonnelly/video/6907066440722009350?lang=en,197800,4230,1728,867400
mahleesem,6674682560012010502,6907028893107080454,who let the rat in? @lexi.millerrr14 #ratatouille #ratatouillemusical #foryoupage,1608168000,14,https://www.tiktok.com/@mahleesem/video/6907028893107080454?lang=en,301300,11400,7468,1300000
kennathomsen,6712486558354375686,6906627708705393926,i think this is as close as it’s gonna get,1608074594,15,https://www.tiktok.com/@kennathomsen/video/6906627708705393926?lang=en,20300,94,86,95700
wolffhailey,6780798037641888773,6907118380529061126,gangs all here #fyp #clonephotos #styleinspo #foryoupage #4u #lol #Productivity,1608188894,15,https://www.tiktok.com/@wolffhailey/video/6907118380529061126?lang=en,27600,157,168,147000
_cindyliu,6810919068704310277,6906920804131409157,like the end result looks amazing and i truly outdid myself #outfitinspo #thriftflip #sewing,1608142837,43,https://www.tiktok.com/@_cindyliu/video/6906920804131409157?lang=en,117000,2694,406,475900
toby2trill,6648731806294573061,6906975208813432069,for the culture #fyp #toxica #cooking #food,1608155502,58,https://www.tiktok.com/@toby2trill/video/6906975208813432069?lang=en,2000000,107800,16200,8500000
flossybaby,6807126210209973253,6907060468498566405,“i cAnT sLeEp uNtIL yOuRe hOmE” #mom #moms,1608175355,18,https://www.tiktok.com/@flossybaby/video/6907060468498566405?lang=en,1500000,117800,12200,5700000
sad_papi,6814613083522434053,6907044231148326150,Back to basics. If you want more knife work tips lmk #Productivity #foodtiktok #tiktokcooks #homecooked,1608171573,59,https://www.tiktok.com/@sad_papi/video/6907044231148326150?lang=en,51900,301,770,362300
hailrara,6742725602837038086,6907015321559764229,Hey Im Rara #fyp #foryoupage #trending #MakeItMagical,1608164840,11,https://www.tiktok.com/@hailrara/video/6907015321559764229?lang=en,39100,2076,290,336800
alechermes,6728508572621456390,6902578070461435141,tryna get connections on LinkedIn #linkedin #college #internship #fyp #WildAnimals #selenanetflix,1607131727,7,https://www.tiktok.com/@alechermes/video/6902578070461435141?lang=en,41600,1094,5774,399600
naduhlycabral,6727086281085944838,6906715505080454405,#cartiktok #taillights #cargirl #brz #subaru #carguy #fyp,1608095048,10,https://www.tiktok.com/@naduhlycabral/video/6906715505080454405?lang=en,86100,2148,1872,475700
ladywhaleshark,6760805290885481478,6906926628291611909,Homemade baby gravy #accountant,1608144194,59,https://www.tiktok.com/@ladywhaleshark/video/6906926628291611909?lang=en,359900,9139,4796,1800000
mwpii,6741068424799519749,6906708860883569926,Plz share - Won’t break our lease! #fyp #channel13 #Channel6 #wesh2 #helpthisgoviral #help #viral #abcnews #foxnews #fl,1608093500,59,https://www.tiktok.com/@mwpii/video/6906708860883569926?lang=en,363400,6794,6397,2700000
finnfrommthegolden,6812388289183417349,6904720600158260486,Growed outta my favorite nap spot real quick 😭 #puppy #goldenretriever #puppiesoftiktok #growupwithme,1607630562,9,https://www.tiktok.com/@finnfrommthegolden/video/6904720600158260486?lang=en,2700000,34500,18600,14800000
manicbunnie,6804374670796948486,6906646836304530694,#stitch with @crelyea12 I love spreadsheets ib @redjustinphan,1608079046,50,https://www.tiktok.com/@manicbunnie/video/6906646836304530694?lang=en,148400,6773,1230,795000
winewithtlc,6815705708428952582,6906661101614714117,Choosing your rosè doesn’t have to be hard #wine #learnontiktok #holidays #rose #winetok,1608082368,17,https://www.tiktok.com/@winewithtlc/video/6906661101614714117?lang=en,161800,5868,1154,1200000
kevinvu27,6782893119451366406,6904132372804013318,"At the end of the day, it’s night #fyp #ThinkingAbout #disco",1607493660,9,https://www.tiktok.com/@kevinvu27/video/6904132372804013318?lang=en,1700000,24500,42900,8500000
itsizail,6799373395295077382,6901859531488300293,Did he steal from spongebob ?                       What y’all think about this ?                                   #fyp #spongebob #stalin,1606964426,14,https://www.tiktok.com/@itsizail/video/6901859531488300293?lang=en,487400,12200,3507,3100000
jcaesar_,6801356220001649670,6906631915428777221,Y’all don’t know the amount of begging it took to get her to do this 😭 #fyp #FestiveFashion #VivaCleanHacks #TheProm #mom #xyzbca,1608075572,14,https://www.tiktok.com/@jcaesar_/video/6906631915428777221?lang=en,1700000,91800,29700,6600000
